id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,T,SRA,SCE,SCEa,SSV,P,F,RGLB
C2NVCE01,15.068611,49.223056,509,Nová Včelnice,Nová Včelnice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2OLSI01,14.51,49.436389,495,Olší,Olší,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2PASC01,14.107778,48.610833,848,Pasečná,"Pasečná, Přední Výtoň",MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2PLAL01,14.7141,49.3426,425,Planá nad Lužnicí,Planá nad Lužnicí,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2POCA01,15.2342,49.2606,618,Počátky,Počátky,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
C2POHSTT,14.7028,48.6044,932,Pohoří na Šumavě,Pohoří na Šumavě,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
C2PRID01,14.3608,48.7831,653,Přídolí,Přídolí,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2PVES01,14.649167,48.670278,773,Pohorská Ves,Pohorská Ves,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2ROZS01,14.391111,48.697778,627,Rožmitál na Šumavě,Rožmitál na Šumavě,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2RUDJ01,14.579722,49.003611,562,Rudolfov,"Rudolfov, Jivno",MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2SEVE01,14.566111,49.101389,501,Ševětín,Ševětín,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2SHUT01,14.7158,48.7178,792,Staré Hutě,Staré Hutě,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2SLAV01,14.2433,48.7642,777,Slavkov,Slavkov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2SOBN01,14.5344,48.7469,526,Soběnov,Soběnov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2STRM01,15.2064,49.1631,582,Strmilov,Strmilov,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2STRN01,14.9136,49.0675,478,Stráž nad Nežárkou,Stráž nad Nežárkou,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2SUCH01,14.8669,48.8928,457,Suchdol nad Lužnicí,Suchdol nad Lužnicí,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2TABO01,14.70324,49.40527,467,Tábor,"Tábor, Měšice",AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C2TREB01,14.7586,49.0622,428,Třeboň,"Třeboň, Lužnice",AKS2,T,SRA,SCE,NA,SSV,NA,F,NA
C2TRHS01,14.6378,48.8433,468,Trhové Sviny,Trhové Sviny,ASS,NA,SRA,NA,NA,NA,NA,NA,NA
C2TUCA01,14.8017,49.2919,454,Tučapy,Tučapy,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2VBRO01,14.3144,48.6175,559,Vyšší Brod,Vyšší Brod,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C4JAPI01,13.421341,49.036142,1062,Prášily,"Prášily, Javoří Pila",ASNS,T,NA,SCE,SCEa,NA,NA,NA,NA
C4KEPZ01,13.316389,49.183611,928,Kepelské Zhůří,Kepelské Zhůří,ASNS,T,NA,SCE,SCEa,NA,NA,NA,NA
C4STHU01,14.706464,48.71085,780,Staré Hutě,Staré Hutě,ASNS,T,NA,SCE,SCEa,NA,NA,NA,NA
C4VETR01,13.836944,48.978611,1157,Větřín,Větřín,ASNS,T,NA,SCE,SCEa,NA,NA,NA,NA
C4ZBYT01,13.969167,48.925833,792,Zbytiny,"Zbytiny, Spálenec",ASNS,T,NA,SCE,SCEa,NA,NA,NA,NA
C4ZLST01,13.336389,49.104444,1197,Zlatý stoleček,Zlatý stoleček,ASNS,T,NA,SCE,SCEa,NA,NA,NA,NA
H1BILA01,15.766135,50.457596,322,Bílá Třemešná,Bílá Třemešná,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1CDUL01,15.712563,50.648678,715,Černý Důl,Černý Důl,ASS,NA,SRA,NA,NA,NA,NA,NA,NA
H1CSKL01,16.061111,50.363056,290,Česká Skalice,"Česká Skalice, Rozkoš",AKS2,T,SRA,SCE,NA,NA,NA,F,NA
H1DDVU01,15.655815,50.654592,560,Dolní Dvůr,"Dolní Dvůr, Rudolfov",ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1HMAR01,15.818973,50.654577,585,Horní Maršov,Horní Maršov,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1HORI01,15.7653,50.3069,271,Hořiněves,Hořiněves,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1HOST01,15.739915,50.522919,356,Hostinné,Hostinné,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1LBOU01,15.544927,50.769883,1320,Labská bouda,Labská bouda,AKS1,T,SRA,SCE,NA,SSV,NA,F,RGLB_D
H1LUCB01,15.697859,50.735318,1413,Luční bouda,Luční bouda,AKS1,T,SRA,SCE,SCEa,SSV,NA,F,RGLB_D
H1NACH01,16.157201,50.395208,336,Náchod,Náchod,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1PECS01,15.728889,50.691944,816.3,Pec pod Sněžkou,Pec pod Sněžkou,AMS1,T,SRA,SCE,NA,SSV,P,F,NA
H1POLI01,16.237511,50.537805,446,Police nad Metují,Police nad Metují,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1POMB01,15.82027,50.745472,1050,Pomezní boudy,"Pomezní boudy, Horní Malá Úpa",ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1STRA01,15.614722,50.663611,785,Strážné,Strážné,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1TEPL01,16.172543,50.578941,460,Teplice nad Metují,Teplice nad Metují,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H1TEPZ01,16.147285,50.641099,531,Teplice nad Metují,Teplice nad Metují Zdoňov,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
H1TRUT01,15.898311,50.558597,437,Trutnov,Trutnov,AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
H1UPIC01,16.011618,50.506419,413,Úpice,Úpice,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
H1VELI01,15.832503,50.356612,299,Velichovky,Velichovky,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
H1VRCH01,15.646389,50.622778,482,Vrchlabí,Vrchlabí,AKS1,T,SRA,SCE,NA,SSV,P,F,NA
H1ZACL01,15.907098,50.661205,644,Žacléř,Žacléř,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
H2BELC01,15.94687,50.186901,247,Běleč nad Orlicí,Běleč nad Orlicí,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2BILU01,16.209938,50.234904,319,Bílý Újezd,"Bílý Újezd, Hroška",ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2BORH01,16.086691,50.105254,254,Borohrádek,Borohrádek,AKS2,T,SRA,SCE,NA,NA,NA,F,NA
H2CMEZ01,16.041312,50.282295,255,České Meziříčí,České Meziříčí,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2DEST01,16.351959,50.306667,656,Deštné v Orlic. horách,Deštné v Orlic. horách,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
H2DOBN01,16.281744,50.322178,627,Dobřany,Dobřany,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2CHOC01,16.200903,50.009544,282,Choceň,Choceň,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2KRAL01,16.73475,50.08289,538,Králíky,Králíky,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
H2LETO01,16.48707,50.03782,427,Letohrad,Letohrad,MSS,NA,NA,NA,NA,NA,NA,NA,NA
H2LUIS01,16.38829,50.287003,875,Luisino údolí,"Luisino údolí, Deštné v Orlických horách",ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2OLES01,16.352829,50.374902,740,Olešnice,"Olešnice, Čihálka",ASS,NA,SRA,NA,NA,NA,NA,NA,NA
H2OLVO01,16.328611,50.365556,670,Olešnice,"Olešnice, Vodárna",ASS,NA,SRA,NA,NA,NA,NA,NA,NA
H2ORLI01,16.667424,50.026453,570,Orličky,Orličky,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2ORLZ01,16.468455,50.280707,690,Orlické Záhoří,Orlické Záhoří,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2POLO01,16.322222,50.350278,747.24,Polom,"Polom, Sedloňov",AMS,T,SRA,SCE,NA,SSV,P,F,NA
H2ROKY01,16.460258,50.164432,577,Rokytnice v Orlic.horách,Rokytnice v Orlic.horách,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
H2RYCH01,16.270033,50.164879,335,Rychnov nad Kněžnou,Rychnov nad Kněžnou,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
